,station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,clean_lines,remote
51,181 St,EL117,Lower Mezzanine to Upper Mezzanine (below 184 St & Ft Washington Ave),MN,A,EL,N,N,A,['R174']
52,181 St,EL119,Lower Mezzanine to Upper Mezzanine (below 184 St & Ft Washington Ave),MN,A,EL,N,N,A,['R174']
53,190 St,EL120,Lower Mezzanine to Upper Mezzanine,MN,A,EL,N,Y,A,['R280']
54,190 St,EL115,Lower Mezzanine to Upper Mezzanine. Lower Mezzanine also connects to street-level passageway,MN,A,EL,N,Y,A,['R280']
55,190 St,EL116,Mezzanine to Upper Mezzanine,MN,A,EL,N,Y,A,['R280']
56,191 St,EL106,Lower Mezzanine to Street Level Arcade at St Nicholas Ave & 191 St,MN,1,EL,N,Y,1,['R274']
57,191 St,EL105,Lower Mezzanine to Street Level Arcade at St Nicholas Ave & 191 St,MN,1,EL,N,Y,1,['R274']
58,191 St,EL104,Lower Mezzanine to Street Level Arcade at St Nicholas Ave & 191 St,MN,1,EL,N,Y,1,['R274']
59,191 St,EL103,Street to Mezzanine / Mezzanine to Platform,MN,1,EL,N,Y,1,['R274']
60,205 St - Norwood,ES112,Center Island Platform to Mezzanine,BX,D,ES,N,Y,D,['R157']
61,207 St - Inwood,EL148,207 St & Broadway (NW corner) to Mezzanine to reach downtown service,MN,A,EL,Y,Y,A,['R173']
62,207 St - Inwood,EL149,Mezzanine to Platform for service in both directions,MN,A,EL,Y,Y,A,['R173']
63,21 St - Queensbridge,EL405,21 St & 41 Ave (NE corner) to Mezzanine to reach service in both directions,QNS,F,EL,Y,Y,F,['R303']
64,21 St - Queensbridge,EL407,Mezzanine to Jamaica bound Platform,QNS,F,EL,Y,Y,F,['R303']
65,21 St - Queensbridge,EL406,Mezzanine to Manhattan bound Platform,QNS,F,EL,Y,Y,F,['R303']
66,21 St - Queensbridge,ES421,Mezzanine to Street,QNS,F,ES,N,Y,F,['R303']
67,21 St - Queensbridge,ES422,Mezzanine to Street,QNS,F,ES,N,Y,F,['R303']
68,21 St - Queensbridge,ES425,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,['R303']
69,21 St - Queensbridge,ES426,Northbound Platform to Mezzanine,QNS,F,ES,N,Y,F,['R303']
70,21 St - Queensbridge,ES424,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,['R303']
71,21 St - Queensbridge,ES423,Southbound Platform to Mezzanine,QNS,F,ES,N,Y,F,['R303']
72,23 St,EL298,Park Ave & 23 St (NE corner) to uptown Platform,MN,6,EL,Y,Y,6,['R131']
73,23 St,EL299,Park Ave & 23 St (NW corner) to downtown Platform,MN,6,EL,Y,Y,6,['R131']
74,231 St,EL185,231 St & Broadway (SE corner) to uptown Platform,BX,1,EL,Y,Y,1,['R040']
75,231 St,EL184,231 St & Broadway (SW corner) to downtown Platform,BX,1,EL,Y,Y,1,['R040']
76,233 St,EL192,233 St & White Plans Rd (NW corner) to Mezzanine to reach service in both directions,BX,2/5,EL,Y,Y,2-5,['R367']
77,233 St,EL194,Mezzanine to downtown Platform,BX,2/5,EL,Y,Y,2-5,['R367']
78,233 St,EL193,Mezzanine to uptown Platform,BX,2/5,EL,Y,Y,2-5,['R367']
79,28 St,EL279X,28 St & Park Ave (SW corner) to downtown Platform,MN,6,EL,Y,Y,6,['R143']
80,34 St - Herald Sq,EL200X,32 St & 6th Ave (NW corner) to Mezzanine near PATH train (connecting to subway lines via non-ADA ramp),MN,B/D/F/M/N/Q/R/W,EL,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
81,34 St - Herald Sq,EL213,6th Ave & 34 St entrance (SW corner) to Mezzanine for all trains,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
82,34 St - Herald Sq,ES222,Mall landing to Street,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
83,34 St - Herald Sq,ES221,Mall landing to Street,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
84,34 St - Herald Sq,ES233,Mezzanine and uptown,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
85,34 St - Herald Sq,ES224,Mezzanine to mall landing,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
86,34 St - Herald Sq,ES223,Mezzanine to mall landing,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
87,34 St - Herald Sq,EL209,Mezzanine to Platform for downtown B/D/F/M service,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
88,34 St - Herald Sq,EL211,Mezzanine to Platform for downtown N/Q/R/W service,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
89,34 St - Herald Sq,EL210,Mezzanine to Platform for uptown B/D/F/M service,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
90,34 St - Herald Sq,EL212,Mezzanine to Platform for uptown N/Q/R/W service,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
91,34 St - Herald Sq,ES230,Northbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
92,34 St - Herald Sq,ES229,Northbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
93,34 St - Herald Sq,ES234,Northbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
94,34 St - Herald Sq,ES232,Southbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
95,34 St - Herald Sq,ES236,Southbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
96,34 St - Herald Sq,ES235,Southbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
97,34 St - Herald Sq,ES231,Southbound Platform to Mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,B-D-F-M-N-Q-R-W,"['R022', 'R023']"
98,34 St - Hudson Yards,EL603,34th St (between 10th Ave & 11th Ave) to Mezzanine to reach 7 line,MN,7,EL,Y,Y,7,['R072']
99,34 St - Hudson Yards,ES636,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
100,34 St - Hudson Yards,ES623,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
101,34 St - Hudson Yards,ES635,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
102,34 St - Hudson Yards,ES622,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
103,34 St - Hudson Yards,ES621,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
104,34 St - Hudson Yards,ES625,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
105,34 St - Hudson Yards,ES633,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
106,34 St - Hudson Yards,ES634,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
107,34 St - Hudson Yards,ES624,Lower Mezzanine to Upper Mezzanine,MN,7,ES,N,Y,7,['R072']
108,34 St - Hudson Yards,EL600,Mezzanine to Platform for 7 service,MN,7,EL,Y,Y,7,['R072']
109,34 St - Hudson Yards,EL602,Upper Mezzanine to Lower Mezzanine to reach 7 line,MN,7,EL,Y,Y,7,['R072']
110,34 St - Hudson Yards,EL601,Upper Mezzanine to Lower Mezzanine to reach 7 line,MN,7,EL,Y,Y,7,['R072']
111,34 St - Hudson Yards,ES632,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
112,34 St - Hudson Yards,ES629,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
113,34 St - Hudson Yards,ES628,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
114,34 St - Hudson Yards,ES630,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
115,34 St - Hudson Yards,ES631,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
116,34 St - Hudson Yards,ES627,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
117,34 St - Hudson Yards,ES626,Upper Mezzanine to Street,MN,7,ES,N,Y,7,['R072']
118,34 St - Penn,EL225,34 St & 8th Ave (SE corner) to uptown C/E Platform and access to rest of complex,MN,A/C/E,EL,Y,Y,A-C-E,"['R013', 'R293', 'R012']"
119,34 St - Penn,EL215,Concourse level of Penn Station to Platform for 2/3 service in both directions,MN,1/2/3/LIRR,EL,Y,Y,1-2-3,"['R293', 'R031']"
120,34 St - Penn,EL216,Concourse level of Penn Station to Platform for downtown 1 service,MN,1/2/3/LIRR,EL,Y,Y,1-2-3,"['R293', 'R031']"
121,34 St - Penn,EL214,Concourse level of Penn Station to Platform for uptown 1 service,MN,1/2/3/LIRR,EL,Y,Y,1-2-3,"['R293', 'R031']"
122,34 St - Penn,EL34X,LIRR entrance- south side of 34 St (west of 7th Ave) to Penn Station concourse to reach all service in the complex,MN,1/2/3/LIRR,EL,Y,Y,1-2-3,"['R293', 'R031']"
123,34 St - Penn,EL227,Penn Station concourse to Platform for A train service in both directions,MN,A/C/E,EL,Y,Y,A-C-E,"['R013', 'R293', 'R012']"
124,34 St - Penn,EL228,Penn Station concourse to Platform for service in both directions,MN,A/C/E,EL,Y,Y,A-C-E,"['R013', 'R293', 'R012']"
125,34 St - Penn,EL226,Uptown C/E Platform to Lower Mezzanine to reach Penn Station concourse and other lines in complex,MN,A/C/E,EL,Y,Y,A-C-E,"['R013', 'R293', 'R012']"
126,42 St - Bryant Park,EL295X,39 St & 6th Ave (near NW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,['R021']
127,42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corne) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,['R021']
128,42 St - Bryant Park,EL294X,42 St & 6th Ave (SW corner) to Mezzanine of B/D/F/M and passageway to 7 line,MN,B/D/F/M,EL,N,Y,B-D-F-M,['R021']
129,42 St - Grand Central,EL204,42 St (between Park Ave & Lexington Ave) to Mezzanine for service in both directions on all lines,MN,4/5/6/7/S/METRO-NORTH,EL,Y,N,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
130,42 St - Grand Central,ES207,Center Island Platform to Lower Mezzanine (west end),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
131,42 St - Grand Central,ES209,Center Island Platform to Lower Mezzanine (west end),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
132,42 St - Grand Central,ES610X,Intermediate Mezzanine to Street,MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
133,42 St - Grand Central,ES203,Lower Mezzanine to Street (3rd ave),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
134,42 St - Grand Central,ES204,Lower Mezzanine to Street (3rd ave),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
135,42 St - Grand Central,ES206,Lower Mezzanine to Upper Mezzanine (bowery),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
136,42 St - Grand Central,ES205,Lower Mezzanine to Upper Mezzanine (bowery),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
137,42 St - Grand Central,ES210,Lower Mezzanine to Upper Mezzanine (west end),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
138,42 St - Grand Central,ES208,Lower Mezzanine to Upper Mezzanine (west end),MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
139,42 St - Grand Central,EL244,Mezzanine to Platform for 7 train service in both directions,MN,4/5/6/7/S/METRO-NORTH,EL,Y,N,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
140,42 St - Grand Central,EL205,Mezzanine to Platform for downtown 4/5/6 service,MN,4/5/6/7/S/METRO-NORTH,EL,Y,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
141,42 St - Grand Central,EL206,Mezzanine to Platform for uptown 4/5/6 service,MN,4/5/6/7/S/METRO-NORTH,EL,Y,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
142,42 St - Grand Central,EL296,Mezzanine to Street level,MN,4/5/6/7/S/METRO-NORTH,EL,Y,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
143,42 St - Grand Central,ES609X,Unassigned,MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
144,42 St - Grand Central,ES608X,Unassigned,MN,4/5/6/7/S/METRO-NORTH,ES,N,Y,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
145,42 St - Grand Central,ES256,Upper Mezzanine to Street,MN,4/5/6/7/S/METRO-NORTH,ES,N,N,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
146,42 St - Grand Central,ES255,Upper Mezzanine to Street,MN,4/5/6/7/S/METRO-NORTH,ES,N,N,4-5-6-7-S,"['R046', 'R047', 'R045', 'R048']"
147,42 St - Port Authority Bus Terminal,EL291X,8th Ave & 44 St entrance (SW corner) to Mezzanine to reach A/C/E via ramp,MN,A/C/E,EL,Y,Y,A-C-E,"['R011', 'R010']"
148,42 St - Port Authority Bus Terminal,EL290X,Lower Mezzanine to Mezzanine and ramp to Platforms for service in both directions,MN,A/C/E,EL,Y,Y,A-C-E,"['R011', 'R010']"
149,42 St - Port Authority Bus Terminal,ES606X,Lower Mezzanine to Upper Mezzanine,MN,A/C/E,ES,N,Y,A-C-E,"['R011', 'R010']"
150,42 St - Port Authority Bus Terminal,ES607X,Mezzanine to Street,MN,A/C/E,ES,N,Y,A-C-E,"['R011', 'R010']"
151,42 St - Port Authority Bus Terminal,EL288X,PA Bus Terminal to Mezzanine and ramp for service in both directions,MN,A/C/E,EL,Y,Y,A-C-E,"['R011', 'R010']"
152,42 St - Port Authority Bus Terminal,EL289X,Street-level entrance in PA Bus Terminal to Mezzanine and ramp to Platforms for service in both directions,MN,A/C/E,EL,Y,Y,A-C-E,"['R011', 'R010']"
153,47-50 St - Rockefeller Ctr,EL234,49 St & 6th Ave (NW corner) to Mezzanine for service in both directions,MN,B/D/F/M,EL,Y,Y,B-D-F-M,['R020']
154,47-50 St - Rockefeller Ctr,EL236,Mezzanine to downtown Platform,MN,B/D/F/M,EL,Y,Y,B-D-F-M,['R020']
155,47-50 St - Rockefeller Ctr,EL235,Mezzanine to Jamaica bound Platform,MN,B/D/F/M,EL,Y,Y,B-D-F-M,['R020']
156,49 St,EL268X,Street to Mezzanine,MN,N/R/W,EL,Y,Y,N-R-W,['R081']
157,5 Av / 53 St,ES239,Southbound Platform to Mezzanine,MN,E/M,ES,N,Y,E-M,['R015']
158,5 Av / 53 St,ES240,Southbound Platform to Mezzanine,MN,E/M,ES,N,Y,E-M,['R015']
159,5 Av / 53 St,ES241,Southbound Platform to Mezzanine (madison ave),MN,E/M,ES,N,Y,E-M,['R015']
160,5 Av / 53 St,ES242,Southbound Platform to Mezzanine (madison ave),MN,E/M,ES,N,Y,E-M,['R015']
161,50 St,EL207X,49 St and 8th Ave (NW corner) to Mezzanine for downtown service,MN,C/E,EL,Y,Y,C-E,['R188']
162,50 St,ES263X,Mezzanine to E train Platform,MN,C/E,ES,N,Y,C-E,['R188']
163,50 St,EL208X,Mezzanine to Platform for downtown service,MN,C/E,EL,Y,Y,C-E,['R188']
164,50 St,ES264X,Mezzanine to Street,MN,C/E,ES,N,Y,C-E,['R188']
165,51 St,EL202,Mezzanine to downtown Platform,MN,6,EL,Y,Y,6,['R049']
166,51 St,ES252,Mezzanine to Platform,MN,6,ES,N,Y,6,['R049']
167,51 St,EL201,Mezzanine to uptown Platform,MN,6,EL,Y,Y,6,['R049']
168,57 St - 7 Av,EL283,Mezzanine to Northbound Platform,MN,N/Q/R/W,EL,Y,N,N-Q-R-W,['R080']
169,57 St - 7 Av,EL282,Mezzanine to Southbound Platform,MN,N/Q/R/W,EL,Y,N,N-Q-R-W,['R080']
170,57 St - 7 Av,EL281,Mezzanine to Street,MN,N/Q/R/W,EL,N,Y,N-Q-R-W,['R080']
171,57 St - 7 Av,EL604,Mezzanine to Street,MN,N/Q/R/W,EL,Y,N,N-Q-R-W,['R080']
172,59 St,ES213,Northbound express Platform to Northbound local Platform,MN,4/5/6,ES,N,Y,4-5-6,"['R051', 'R050']"
173,59 St,ES211,Northbound express Platform to Northbound local Platform,MN,4/5/6,ES,N,Y,4-5-6,"['R051', 'R050']"
174,59 St,ES214,Southbound express Platform to Southbound local Platform,MN,4/5/6,ES,N,Y,4-5-6,"['R051', 'R050']"
175,59 St,ES212,Southbound express Platform to Southbound local Platform,MN,4/5/6,ES,N,Y,4-5-6,"['R051', 'R050']"
176,59 St - Columbus Cir,EL276X,8th Ave & 58 St (NW corner) to Mezzanine for service in both directions,MN,1/A/B/C/D,EL,Y,Y,1-A-B-C-D,['R084']
177,59 St - Columbus Cir,EL280,Central Park West & 60 St (NW corner) to uptown 1 Platform (and access to rest of complex),MN,1/A/B/C/D,EL,Y,Y,1-A-B-C-D,['R084']
178,59 St - Columbus Cir,EL277,Downtown 1 Platform to Downtown A/B/C/D Platform,MN,1/A/B/C/D,EL,Y,Y,1-A-B-C-D,['R084']
179,59 St - Columbus Cir,EL278,Mezzanine to Platform for uptown A/B/C/D,MN,1/A/B/C/D,EL,Y,Y,1-A-B-C-D,['R084']
180,59 St - Columbus Cir,ES250X,Street to Mezzanine all trains,MN,1/A/B/C/D,ES,N,Y,1-A-B-C-D,['R084']
181,59 St - Columbus Cir,ES251X,Street to Mezzanine all trains,MN,1/A/B/C/D,ES,N,Y,1-A-B-C-D,['R084']
182,59 St - Columbus Cir,ES276X,Three landings,MN,1/A/B/C/D,ES,N,N,1-A-B-C-D,['R084']
183,59 St - Columbus Cir,EL279,Uptown 1 Platform to Uptown A/B/C/D Platform,MN,1/A/B/C/D,EL,Y,Y,1-A-B-C-D,['R084']
184,61 St - Woodside,EL419X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,['R147']
185,61 St - Woodside,EL418X,LIRR Platform to 7 line Mezzanine,QNS,7,EL,N,Y,7,['R147']
186,61 St - Woodside,EL417X,Mezzanine to Flushing Main St bound Platform,QNS,7,EL,Y,Y,7,['R147']
187,61 St - Woodside,EL416X,Mezzanine to Manhattan bound Platform,QNS,7,EL,Y,Y,7,['R147']
188,61 St - Woodside,EL415X,Roosevelt Ave & 61 St (NE corner) to  Mezzanine for service in both directions,QNS,7,EL,Y,Y,7,['R147']
189,61 St - Woodside,ES448,Street to Mezzanine,QNS,7,ES,N,Y,7,['R147']
190,66 St - Lincoln Center,EL237,East side of Broadway (between 65 St & 66 St) to uptown Platform,MN,1,EL,Y,Y,1,['R164']
191,66 St - Lincoln Center,EL238,West side of Broadway (between 65 St & 66 St) to downtown Platform,MN,1,EL,Y,Y,1,['R164']
192,68 St / Hunter College,EL285,Mezzanine Northbound Platform,MN,6,EL,Y,N,6,['R177']
193,68 St / Hunter College,EL286,Mezzanine Southbound Platform,MN,6,EL,Y,N,6,['R177']
194,68 St / Hunter College,EL284,Mezzanine to Street,MN,6,EL,Y,N,6,['R177']
195,7 Av,ES238,Southbound Platform to Mezzanine,MN,B/D/E,ES,N,Y,B-D-E,['R171']
196,7 Av,ES237,Southbound Platform to Mezzanine,MN,B/D/E,ES,N,Y,B-D-E,['R171']
197,72 St,EL240,Broadway (between 72 St & 73 St) to downtown Platform,MN,1/2/3,EL,Y,Y,1-2-3,['R452']
198,72 St,EL239,Broadway (between 72 St & 73 St) to uptown Platform,MN,1/2/3,EL,Y,Y,1-2-3,['R452']
199,72 St / 2 Av,EL264,2nd Ave & 72 St (SE corner) to Lower Mezzanine for service in both directions,MN,Q,EL,Y,Y,Q,['R570']
200,72 St / 2 Av,EL265,2nd Ave & 72 St (SE corner) to Lower Mezzanine for service in both directions,MN,Q,EL,Y,Y,Q,['R570']
201,72 St / 2 Av,EL266,2nd Ave & 72 St (SE corner) to Lower Mezzanine for service in both directions,MN,Q,EL,Y,Y,Q,['R570']
