station_name,clean_lines,equipments,gtfs_stop_id,lat,lon,avg_daily_entries,avg_daily_exits,Elevator,Importance,Perc. Importance,Betweenness,destination,walking_dist
168th St,AC,"EL139,EL141,EL140",A09,40.840719,-73.939561,636.6575342465753,470.34794520547945,EL141,2,50.0,2512.1635521838034,,
168th St,AC,"EL139,EL141,EL140",A09,40.840719,-73.939561,238.42191780821918,205.2109589041096,EL140,2,50.0,3002.69990800609,,
168th St,AC,"EL139,EL141,EL140",A09,40.840719,-73.939561,636.6575342465753,470.34794520547945,EL140,2,50.0,3002.69990800609,,
175th St,A,"EL123,EL124",A07,40.847391,-73.939704,513.972602739726,865.5479452054794,EL123,2,100.0,1776.0,,
175th St,A,"EL123,EL124",A07,40.847391,-73.939704,513.972602739726,865.5479452054794,EL124,2,100.0,5322.0,,
Jamaica - 179th St,F,"EL431,EL433,EL432",F01,40.712646,-73.783817,459.1397260273973,971.2602739726027,EL431,2,100.0,1776.0,Jamaica - 179th St,19.0
Jamaica - 179th St,F,"EL431,EL433,EL432",F01,40.712646,-73.783817,459.1397260273973,971.2602739726027,EL432,1,50.0,3550.0,Jamaica - 179th St,19.0
Jamaica - 179th St,F,"EL431,EL433,EL432",F01,40.712646,-73.783817,459.1397260273973,971.2602739726027,EL433,1,50.0,10626.0,Jamaica - 179th St,19.0
Inwood - 207th St,A,"EL148,EL149",A02,40.868072,-73.919899,442.27671232876713,691.5205479452055,EL148,1,100.0,1776.0,Inwood - 207th St,5.0
Inwood - 207th St,A,"EL148,EL149",A02,40.868072,-73.919899,442.27671232876713,691.5205479452055,EL148,1,100.0,1776.0,Inwood - 207th St,7.0
Inwood - 207th St,A,"EL148,EL149",A02,40.868072,-73.919899,442.27671232876713,691.5205479452055,EL149,1,100.0,5322.0,Inwood - 207th St,5.0
Inwood - 207th St,A,"EL148,EL149",A02,40.868072,-73.919899,442.27671232876713,691.5205479452055,EL149,1,100.0,5322.0,Inwood - 207th St,7.0
21st St - Queensbridge,F,"EL405,EL407,EL406,ES421,ES422,ES425,ES426,ES424,ES423",B04,40.754203,-73.942836,429.22739726027396,1022.3698630136986,EL405,2,100.0,1776.0,21st St - Queensbridge,38.0
21st St - Queensbridge,F,"EL405,EL407,EL406,ES421,ES422,ES425,ES426,ES424,ES423",B04,40.754203,-73.942836,429.22739726027396,1022.3698630136986,EL407,1,50.0,10626.0,21st St - Queensbridge,38.0
21st St - Queensbridge,F,"EL405,EL407,EL406,ES421,ES422,ES425,ES426,ES424,ES423",B04,40.754203,-73.942836,429.22739726027396,1022.3698630136986,EL406,1,50.0,3550.0,21st St - Queensbridge,38.0
23rd St,46,"EL298,EL299",634,40.739864,-73.986599,1023.3068493150685,883.5315068493151,EL298,1,50.0,1347.9932730123408,23rd St,13.0
23rd St,46,"EL298,EL299",634,40.739864,-73.986599,1023.3068493150685,883.5315068493151,EL299,1,50.0,1320.215214275021,23rd St,13.0
231st St,1,"EL185,EL184",104,40.878856,-73.904834,385.76164383561644,129.35342465753425,EL185,1,50.0,8.0,,
231st St,1,"EL185,EL184",104,40.878856,-73.904834,385.76164383561644,129.35342465753425,EL184,1,50.0,8.0,,
233rd St,25,"EL192,EL194,EL193",205,40.893193,-73.857473,217.1205479452055,156.91232876712328,EL192,4,100.0,1776.0,,
233rd St,25,"EL192,EL194,EL193",205,40.893193,-73.857473,217.1205479452055,156.91232876712328,EL194,2,50.0,5322.0,,
233rd St,25,"EL192,EL194,EL193",205,40.893193,-73.857473,217.1205479452055,156.91232876712328,EL193,2,50.0,12390.0,,
28th St,46,EL279X,633,40.74307,-73.984264,1600.8704225352112,879.1549295774648,EL279X,1,100.0,1776.0,28th St,13.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL213,16,100.0,1776.0,Herald Sq - 34th St,11.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL213,16,100.0,1776.0,Herald Sq - 34th St,6.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL209,4,25.0,5316.19366092647,Herald Sq - 34th St,11.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL209,4,25.0,5316.19366092647,Herald Sq - 34th St,6.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL211,4,25.0,5146.778324017647,Herald Sq - 34th St,11.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL211,4,25.0,5146.778324017647,Herald Sq - 34th St,6.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL210,4,25.0,4294.483922285009,Herald Sq - 34th St,11.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL210,4,25.0,4294.483922285009,Herald Sq - 34th St,6.0
Herald Sq - 34th St,NQRW,"EL200X,EL213,ES222,ES221,ES233,ES224,ES223,EL209,EL211,EL210,EL212,ES230,ES229,ES234,ES232,ES236,ES235,ES231",R17,40.749567,-73.98795,-201.2931506849315,530.3917808219178,EL212,4,25.0,4708.330837929971,Herald Sq - 34th St,11.0
