Station,Elevator,Importance,Perc. Importance,Betweenness
Dyckman St,EL178,1,100.0,1776.0
East 180 St,EL160,2,50.0,15.0
East 180 St,EL159,2,50.0,15.0
Euclid Av,EL341,4,100.0,9.0
Euclid Av,EL342,2,50.0,21.0
Euclid Av,EL343,2,50.0,21.0
Far Rockaway - Mott Av,EL497,0,0.0,1.0
Far Rockaway - Mott Av,EL498,0,0.0,1.0
Flatbush Av Brooklyn College,EL319,4,100.0,1776.0
Flushing Av,EL393,6,100.0,1776.0
Flushing Av,EL395,4,66.66666666666666,12390.0
Flushing Av,EL394,2,33.33333333333333,5322.0
Flushing Main St,EL414,1,100.0,1776.0
Fordham Rd,EL186,2,100.0,1776.0
Fordham Rd,EL188,1,50.0,1970.2481381363723
Fordham Rd,EL187,1,50.0,7828.631895286273
Forest Hills - 71 Av,EL439,4,50.0,8860.0
Forest Hills - 71 Av,EL437,8,100.0,1776.0
Forest Hills - 71 Av,EL438,4,50.0,15912.0
Gun Hill Rd,EL183,2,50.0,5322.0
Gun Hill Rd,EL182,2,50.0,8860.0
Hunts Point,EL197,1,50.0,10626.0
Hunts Point,EL196,1,50.0,3550.0
Hunts Point,EL195,2,100.0,1776.0
Jamaica - Van Wyck,EL409,2,100.0,1776.0
Jamaica - Van Wyck,EL408,2,100.0,5322.0
Jamaica Center Parsons/Archer,EL412,6,100.0,1776.0
Jamaica Center Parsons/Archer,EL413,6,100.0,5322.0
Jay St - MetroTech,EL706,8,100.0,1776.0
Jay St - MetroTech,EL707,3,37.5,7092.0
Jay St - MetroTech,EL709,2,25.0,47713.31920435171
Jay St - MetroTech,EL708,3,37.5,35418.57813851585
Junction Blvd,EL427,1,50.0,2887.283333333333
Junction Blvd,EL426,1,50.0,2838.7833333333333
Junction Blvd,EL425,2,100.0,1776.0
Kew Gardens / Union Tpk,EL434,4,100.0,1776.0
Kew Gardens / Union Tpk,EL435,2,50.0,12390.0
Kew Gardens / Union Tpk,EL436,2,50.0,5322.0
Kings Highway,EL760,2,40.0,5322.0
Kings Highway,EL761,3,60.0,8860.0
Kingsbridge Road,EL189,4,100.0,9.0
Kingsbridge Road,EL191,2,50.0,21.0
Kingsbridge Road,EL190,2,50.0,21.0
Marcy Av,EL391,3,50.0,7092.0
Marcy Av,EL392,3,50.0,10626.0
Myrtle Av / Wyckoff Av,EL396,4,100.0,1776.0
Myrtle Av / Wyckoff Av,EL397,2,50.0,48035.49210276666
Myrtle Av / Wyckoff Av,EL398,2,50.0,54693.49210276665
Ozone Park / Lefferts Blvd,EL462,2,100.0,1776.0
Ozone Park / Lefferts Blvd,EL463,2,100.0,5322.0
Pelham Bay Park,EL121,1,100.0,1776.0
Pelham Bay Park,EL122,1,100.0,5322.0
Pelham Pkwy,EL137,2,50.0,5322.0
Pelham Pkwy,EL138,2,50.0,12390.0
Pelham Pkwy,EL136,4,100.0,1776.0
Prospect Park,EL383,2,50.0,8860.0
Prospect Park,EL382,2,50.0,5322.0
Queens Plaza,EL430,3,50.0,14152.0
Queens Plaza,EL429,3,50.0,7092.0
Queens Plaza,EL428,6,100.0,1776.0
Roosevelt Island,EL404,1,50.0,7092.0
Roosevelt Island,EL403,1,50.0,3550.0
Simpson St,EL128,2,50.0,15.0
Simpson St,EL127,2,50.0,15.0
South Ferry,EL731,1,100.0,5322.0
South Ferry,EL730,1,100.0,1776.0
Sutphin Blvd - Archer Av - JFK Airport,EL411,6,100.0,8860.0
Sutphin Blvd - Archer Av - JFK Airport,EL450X,0,0.0,591.3333333333361
Sutphin Blvd - Archer Av - JFK Airport,EL449X,0,0.0,591.3333333333361
Sutphin Blvd - Archer Av - JFK Airport,EL448X,0,0.0,591.3333333333361
Times Sq - 42 St,EL232,0,0.0,68383.0395442881
Times Sq - 42 St,EL231X,18,100.0,1776.0
Times Sq - 42 St,EL232X,0,0.0,68383.0395442881
Times Sq - 42 St,EL233,3,16.666666666666664,66054.75118712072
Times Sq - 42 St,EL229,4,22.22222222222222,97335.32171048994
Times Sq - 42 St,EL230,4,22.22222222222222,107562.3790663706
Utica Av,EL345,2,50.0,21.0
Utica Av,EL344,4,100.0,9.0
Utica Av,EL346,2,50.0,21.0
Howard Beach,EL491X,0,0.0,887.5
Howard Beach,EL490X,0,0.0,887.5
Howard Beach,EL495X,0,0.0,1663.065181593395
Howard Beach,EL494X,0,0.0,1663.065181593395
Howard Beach,EL493X,1,33.33333333333333,4455.07532110608
Howard Beach,EL492X,1,33.33333333333333,4455.07532110608
World Trade Center,EL326,0,0.0,887.5
World Trade Center,EL23X,0,0.0,887.5
34 St - Penn,EL225,0,0.0,1650.1270661869721
34 St - Penn,EL226,0,0.0,3059.321589667535
34 St - Penn,EL227,2,16.666666666666664,29964.54026701013
34 St - Penn,EL228,2,16.666666666666664,3992.08016736851
34 St - Penn,EL34X,0,0.0,1364.1740138643322
34 St - Penn,EL216,1,8.333333333333332,7199.331384836231
34 St - Penn,EL215,4,33.33333333333333,27947.53755519751
34 St - Penn,EL214,1,8.333333333333332,4511.167178120682
Lexington Av / 63 St,EL401,0,0.0,357.00000000001967
Lexington Av / 63 St,EL444,0,0.0,1422.6000000000772
Lexington Av / 63 St,EL402,0,0.0,3896.3999999998587
Lexington Av / 63 St,EL440,0,0.0,1238.2500000000064
Lexington Av / 63 St,EL441,0,0.0,1238.2500000000064
Lexington Av / 63 St,EL442,0,0.0,1238.2500000000064
Lexington Av / 63 St,EL443,0,0.0,1238.2500000000064
Broadway-Lafayette/Bleecker St,EL328,10,100.0,1776.0
Broadway-Lafayette/Bleecker St,EL329,0,0.0,43280.334797852454
Broadway-Lafayette/Bleecker St,EL331,0,0.0,44347.448810985974
Broadway-Lafayette/Bleecker St,EL332,0,0.0,47277.886307866414
Broadway-Lafayette/Bleecker St,EL330,0,0.0,45980.433585672945
42 St - Port Authority Bus Terminal,EL288X,0,0.0,1476.999999999985
42 St - Port Authority Bus Terminal,EL289X,0,0.0,1476.999999999985
42 St - Port Authority Bus Terminal,EL291X,0,0.0,2.333333333333333
42 St - Port Authority Bus Terminal,EL290X,0,0.0,2363.6666666667315
West 4 St - Washington Sq,EL333,14,100.0,1776.0
West 4 St - Washington Sq,EL334,8,57.14285714285714,36589.93032136652
West 4 St - Washington Sq,EL335,4,28.57142857142857,4114.497918736876
59 St - Columbus Cir,EL276X,0,0.0,1503.6869059070539
59 St - Columbus Cir,EL277,4,40.0,40420.68497779733
59 St - Columbus Cir,EL280,0,0.0,698.2771085034549
59 St - Columbus Cir,EL279,0,0.0,27358.930060876184
59 St - Columbus Cir,EL278,0,0.0,31750.214952797483
WTC Cortlandt St,EL736,2,100.0,1776.0
WTC Cortlandt St,EL713,1,50.0,5371.335752482811
WTC Cortlandt St,EL712,1,50.0,5392.335752482811
WTC Cortlandt St,EL13X,0,0.0,1477.4999999999861
WTC Cortlandt St,EL12X,0,0.0,3842.666666666805
WTC Cortlandt St,EL11X,0,0.0,0.8333333333333333
Cortlandt St,EL18X,0,0.0,2949.666666666639
Cortlandt St,EL727X,2,50.0,9125.493795093797
Cortlandt St,EL726X,2,50.0,8733.360461760461
Cortlandt St,EL14X,0,0.0,2.0833333333333335
Cortlandt St,EL22X,0,0.0,2.0833333333333335
Cortlandt St,EL16X,0,0.0,3838.5833333334717
Cortlandt St,EL17X,0,0.0,3838.5833333334717
Dekalb Av,EL370,6,100.0,1776.0
Dekalb Av,EL372,3,50.0,2713.4341553956065
Dekalb Av,EL371,3,50.0,2754.588191594508
Bowling Green,EL710,2,50.0,1161.7638567401016
Bowling Green,EL711,2,50.0,1174.5758209746837
74 St - Broadway / Roosevelt Av,EL423,1,9.090909090909092,558.0333333333332
74 St - Broadway / Roosevelt Av,EL422,4,36.36363636363637,8860.0
74 St - Broadway / Roosevelt Av,EL421,4,36.36363636363637,8860.0
74 St - Broadway / Roosevelt Av,EL420,11,100.0,24725.033333333333
Fulton St,EL716,0,0.0,22879.383002322676
Fulton St,EL717X,0,0.0,30616.31214352564
Fulton St,EL718X,0,0.0,2220.300301291842
Fulton St,EL719,0,0.0,7738.710882684261
Fulton St,EL720,0,0.0,98244.73700720102
Fulton St,EL721,0,0.0,1776.0
Fulton St,EL722,0,0.0,12777.648010316481
Fulton St,EL723,4,28.57142857142857,16772.19112017753
Fulton St,EL728X,0,0.0,30616.31214352564
Fulton St,EL729X,0,0.0,22879.383002322676
Fulton St,EL732,4,28.57142857142857,17175.14862477014
Fulton St,EL733X,0,0.0,1776.0
50 St,EL207X,2,100.0,1776.0
50 St,EL208X,1,50.0,1780.0
Franklin Av,EL339,3,100.0,19.0
Franklin Av,EL340,1,33.33333333333333,12.0
Coney Island Stillwell Av,EL701,8,100.0,940.5630777246081
Coney Island Stillwell Av,EL702,8,100.0,862.0883228163059
Lexington Av / 53 St and 51 St,EL203X,6,100.0,1775.9999999999998
Lexington Av / 53 St and 51 St,EL245,4,66.66666666666666,15912.0
Lexington Av / 53 St and 51 St,EL201,1,16.666666666666664,3550.0
Lexington Av / 53 St and 51 St,EL202,1,16.666666666666664,3550.0
