,from,to,line
1481,Q01N,R22N,N
1482,Q01S,R30S,N
1483,Q01S,R31S,N
1484,Q03N,Q04N,N
1485,Q03S,B08S,N
1486,Q04N,Q05N,N
1487,Q04S,Q03S,N
1488,Q05S,Q04S,N
1489,R01S,R03S,N
1490,R03N,R01N,N
1491,R03S,R04S,N
1492,R04N,R03N,N
1493,R04S,R05S,N
1494,R05N,R04N,N
1495,R05S,R06S,N
1496,R06N,R05N,N
1497,R06S,R08S,N
1498,R08N,R06N,N
1499,R08S,R09S,N
1500,R09N,R08N,N
1501,R09S,R11S,N
1502,R11N,R09N,N
1503,R11S,R13S,N
1504,R13N,R11N,N
1505,R13S,R14S,N
1506,R14N,B08N,N
1507,R14N,R13N,N
1508,R14S,R15S,N
1509,R14S,R16S,N
1510,R15N,R14N,N
1511,R15S,R16S,N
1512,R16N,R14N,N
1513,R16N,R15N,N
1514,R16S,R17S,N
1515,R17N,R16N,N
1516,R17S,R18S,N
1517,R17S,R20S,N
1518,R18N,R17N,N
1519,R18S,R19S,N
1520,R19N,R18N,N
1521,R19S,R20S,N
1522,R20N,R17N,N
1523,R20N,R19N,N
1524,R20S,Q01S,N
1525,R20S,R21S,N
1526,R21N,R20N,N
1527,R21S,R22S,N
1528,R22N,R21N,N
1529,R22S,R23S,N
1530,R23N,R22N,N
1531,R23S,R24S,N
1532,R24N,R23N,N
1533,R24S,R25S,N
1534,R25N,R24N,N
1535,R25S,R26S,N
1536,R26N,R25N,N
1537,R26S,R27S,N
1538,R27N,R26N,N
1539,R27S,R28S,N
1540,R28N,R27N,N
1541,R28S,R29S,N
1542,R29N,R28N,N
1543,R29S,R30S,N
1544,R30N,Q01N,N
1545,R30N,R29N,N
1546,R30S,R31S,N
1547,R31N,Q01N,N
1548,R31N,R30N,N
1549,R31S,R32S,N
1550,R31S,R36S,N
1551,R32N,R31N,N
1552,R32S,R33S,N
1553,R33N,R32N,N
1554,R33S,R34S,N
1555,R34N,R33N,N
1556,R34S,R35S,N
1557,R35N,R34N,N
1558,R35S,R36S,N
1559,R36N,R31N,N
1560,R36N,R35N,N
1561,R36S,R39S,N
1562,R36S,R41S,N
1563,R39N,R36N,N
1564,R39S,R40S,N
1565,R40N,R39N,N
1566,R40S,R41S,N
1567,R41N,R36N,N
1568,R41N,R40N,N
1569,R41S,N02S,N
1570,B08N,Q03N,Q
1571,B08S,R14S,Q
1572,D24N,R30N,Q
1573,D24S,D25S,Q
1574,D25N,D24N,Q
1575,D25S,D26S,Q
1576,D26N,D25N,Q
1577,D26S,D27S,Q
1578,D27N,D26N,Q
1579,D27S,D28S,Q
1580,D28N,D27N,Q
1581,D28S,D29S,Q
1582,D29N,D28N,Q
1583,D29S,D30S,Q
1584,D30N,D29N,Q
1585,D30S,D31S,Q
1586,D31N,D30N,Q
1587,D31S,D32S,Q
1588,D32N,D31N,Q
1589,D32S,D33S,Q
1590,D33N,D32N,Q
1591,D33S,D34S,Q
1592,D34N,D33N,Q
1593,D34S,D35S,Q
1594,D35N,D34N,Q
1595,D35S,D37S,Q
1596,D37N,D35N,Q
1597,D37S,D38S,Q
1598,D38N,D37N,Q
1599,D38S,D39S,Q
1600,D39N,D38N,Q
1601,D39S,D40S,Q
1602,D40N,D39N,Q
1603,D40S,D41S,Q
1604,D41N,D40N,Q
1605,D41S,D42S,Q
1606,D42N,D41N,Q
1607,D42S,D43S,Q
1608,D43N,D42N,Q
1609,Q01N,R20N,Q
1610,Q01N,R22N,Q
1611,Q01S,R30S,Q
1612,Q03N,Q04N,Q
1613,Q03S,B08S,Q
1614,Q04N,Q05N,Q
1615,Q04S,Q03S,Q
1616,Q05S,Q04S,Q
1617,R14N,B08N,Q
1618,R14S,R15S,Q
1619,R14S,R16S,Q
1620,R15N,R14N,Q
1621,R15S,R16S,Q
1622,R16N,R14N,Q
1623,R16N,R15N,Q
1624,R16S,R17S,Q
1625,R17N,R16N,Q
1626,R17S,R18S,Q
1627,R17S,R20S,Q
1628,R18N,R17N,Q
1629,R18S,R19S,Q
1630,R19N,R18N,Q
1631,R19S,R20S,Q
1632,R20N,R17N,Q
1633,R20N,R19N,Q
1634,R20S,Q01S,Q
1635,R20S,R21S,Q
1636,R21N,R20N,Q
1637,R21S,R22S,Q
1638,R22N,R21N,Q
1639,R22S,Q01S,Q
1640,R30N,Q01N,Q
1641,R30S,D24S,Q
1642,B08N,Q03N,R
1643,G08S,G09S,R
1644,G09N,G08N,R
1645,G09S,G10S,R
1646,G10N,G09N,R
1647,G10S,G11S,R
1648,G11N,G10N,R
1649,G11S,G12S,R
1650,G12N,G11N,R
1651,G12S,G13S,R
1652,G13N,G12N,R
1653,G13S,G14S,R
1654,G14N,G13N,R
1655,G14S,G15S,R
1656,G15N,G14N,R
1657,G15S,G16S,R
1658,G16N,G15N,R
1659,G16S,G18S,R
1660,G18N,G16N,R
1661,G18S,G19S,R
1662,G19N,G18N,R
1663,G19S,G20S,R
1664,G20N,G19N,R
1665,G20S,G21S,R
1666,G21N,G20N,R
1667,G21S,R11S,R
1668,Q03N,Q04N,R
1669,Q04N,Q05N,R
1670,R11N,G21N,R
1671,R11S,R13S,R
1672,R13N,R11N,R
1673,R13S,R14S,R
1674,R14N,B08N,R
1675,R14N,R13N,R
1676,R14S,R15S,R
1677,R15N,R14N,R
1678,R15S,R16S,R
1679,R16N,R15N,R
1680,R16S,R17S,R
1681,R17N,R16N,R
1682,R17S,R18S,R
1683,R18N,R17N,R
1684,R18S,R19S,R
1685,R19N,R18N,R
1686,R19S,R20S,R
1687,R20N,R19N,R
1688,R20S,R21S,R
1689,R21N,R20N,R
1690,R21S,R22S,R
1691,R22N,R21N,R
1692,R22S,R23S,R
1693,R23N,R22N,R
1694,R23S,R24S,R
1695,R24N,R23N,R
1696,R24S,R25S,R
1697,R25N,R24N,R
1698,R25S,R26S,R
1699,R26N,R25N,R
1700,R26S,R27S,R
1701,R27N,R26N,R
1702,R27S,R28S,R
1703,R28N,R27N,R
1704,R28S,R29S,R
1705,R29N,R28N,R
1706,R29S,R30S,R
1707,R30N,R29N,R
1708,R30S,R31S,R
1709,R31N,R30N,R
1710,R31S,R32S,R
1711,R32N,R31N,R
1712,R32S,R33S,R
1713,R33N,R32N,R
1714,R33S,R34S,R
1715,R34N,R33N,R
1716,R34S,R35S,R
1717,R35N,R34N,R
1718,R35S,R36S,R
1719,R36N,R35N,R
1720,R36S,R39S,R
1721,R39N,R36N,R
1722,R39S,R40S,R
1723,R40N,R39N,R
1724,R40S,R41S,R
1725,R41N,R40N,R
1726,R41S,R42S,R
1727,R42N,R41N,R
1728,R42S,R43S,R
1729,R43N,R42N,R
1730,R43S,R44S,R
1731,R44N,R43N,R
1732,R44S,R45S,R
1733,R45N,R44N,R
1734,S09N,S11N,SI
1735,S11N,S13N,SI
1736,S11S,S09S,SI
1737,S13N,S14N,SI
1738,S13S,S11S,SI
1739,S14N,S15N,SI
1740,S14S,S13S,SI
1741,S15N,S16N,SI
1742,S15S,S14S,SI
1743,S16N,S17N,SI
1744,S16S,S15S,SI
1745,S17N,S18N,SI
1746,S17S,S16S,SI
1747,S18N,S19N,SI
1748,S18S,S17S,SI
1749,S19N,S20N,SI
1750,S19S,S18S,SI
1751,S20N,S21N,SI
1752,S20S,S19S,SI
1753,S21N,S22N,SI
1754,S21S,S20S,SI
1755,S22N,S23N,SI
1756,S22N,S31N,SI
1757,S22S,S21S,SI
1758,S23N,S24N,SI
1759,S23S,S22S,SI
1760,S24N,S25N,SI
1761,S24S,S23S,SI
1762,S25N,S26N,SI
1763,S25S,S24S,SI
1764,S26N,S27N,SI
1765,S26S,S25S,SI
1766,S27N,S28N,SI
1767,S27S,S26S,SI
1768,S28N,S29N,SI
1769,S28S,S27S,SI
1770,S29N,S30N,SI
1771,S29S,S28S,SI
1772,S30N,S31N,SI
1773,S30S,S29S,SI
1774,S31S,S19S,SI
1775,S31S,S30S,SI
