,station_name,label,line,direction,possible_stops,stop_id
383,Times Sq - 42 St,3-south,3,south,"127N, 127S",127S
384,Times Sq - 42 St,3-north,3,north,"127N, 127S",127N
385,Times Sq - 42 St,S-south,S,south,,NULL
386,Times Sq - 42 St,2-south,2,south,"127N, 127S",127S
387,Times Sq - 42 St,2-north,2,north,"127N, 127S",127N
388,Times Sq - 42 St,1-south,1,south,"127N, 127S",127S
389,Times Sq - 42 St,1-north,1,north,"127N, 127S",127N
390,Times Sq - 42 St,7-south,7,south,"725N, 725S",725S
391,Utica Av,A-south,A,south,"A48N, A48S",A48S
392,Utica Av,C-south,C,south,"A48N, A48S",A48S
393,Utica Av,C-north,C,north,"A48N, A48S",A48N
394,Utica Av,A-north,A,north,"A48N, A48S",A48N
395,West 4 St - Washington Sq,F-south,F,south,"D20N, D20S",D20S
396,West 4 St - Washington Sq,B-south,B,south,"D20N, D20S",D20S
